ds_motivo,categoria_motivo_cancelamento
Outros,Problemas Técnicos ou Administrativos
Razões Particulares,Questões Pessoais ou de Saúde
Razões financeiras,Questões Financeiras
Doença,Questões Pessoais ou de Saúde
Razões profissionais,Questões Pessoais ou de Saúde
Mudança de curso,Curso ou Instituição
Venda com Inconsistência,Problemas Técnicos ou Administrativos
Inscrição não confirmada,Problemas Técnicos ou Administrativos
Mudança de cidade,Circunstâncias Externas
Não realizou a rematrícula,Questões Financeiras
Viagem,Circunstâncias Externas
Auditoria,Problemas Técnicos ou Administrativos
Insatisfação,Curso ou Instituição
Irá para Curso Presencial,Curso ou Instituição
Dificuldade em acompanhar o curso,Curso ou Instituição
Falta de Identificação com o Curso,Curso ou Instituição
Não é o objetivo cursar faculdade no momento,Problemas Técnicos ou Administrativos
Falta de tempo para conciliar estudos e demais atividades,Questões Pessoais ou de Saúde
Insatisfação com o PIPA,Curso ou Instituição
Dúvida sobre escolha do curso,Curso ou Instituição
Desemprego,Questões Financeiras
Aprovado em Faculdade Federal ,Problemas Técnicos ou Administrativos
Não se adaptou a modalidade EAD,Curso ou Instituição
Falta de equipamento para estudar,Questões Pessoais ou de Saúde
Não se adaptou a Plataforma de Estudos (Moodle/Portal),Curso ou Instituição
Gestação/RN,Questões Pessoais ou de Saúde
Sem acesso a Internet,Questões Financeiras
Não possui Ensino Médio,Problemas Técnicos ou Administrativos
Falta de Identificação com Metodologia,Curso ou Instituição
Fechamento da Unidade,Problemas Técnicos ou Administrativos
Insatisfação com Atendimento Unidade,Curso ou Instituição
Mudança de País,Circunstâncias Externas
Recebeu bolsa de maior valor em outra IES,Questões Financeiras
Insatisfação com Análise Curricular,Curso ou Instituição
Insatisfação com o Professor,Curso ou Instituição
Matrícula não realizada pelo Acadêmico,Problemas Técnicos ou Administrativos
Não Pagou Matrícula,Questões Financeiras
Insatisfação com Matriz Curricular,Curso ou Instituição
Óbito,Questões Pessoais ou de Saúde
